image,preprocess_ms,inference_ms,postprocess_ms,total_ms,gpu_mem_mb
img_0943.jpg,3.041,5.785,0.048,8.873,12
img_0944.jpg,3.012,5.872,0.045,8.930,12
img_0945.jpg,2.918,5.811,0.043,8.771,12
img_0946.jpg,2.792,5.082,0.042,7.916,12
img_0947.jpg,2.879,5.137,0.038,8.054,12
img_0948.jpg,2.838,4.752,0.034,7.624,12
img_0949.jpg,2.971,4.907,0.030,7.909,12
img_0950.jpg,2.756,4.721,0.030,7.506,12
img_0951.jpg,2.748,4.881,0.028,7.657,12
img_0952.jpg,2.730,4.587,0.027,7.344,12
img_0953.jpg,2.751,4.751,0.027,7.529,12
img_0954.jpg,2.701,4.527,0.026,7.254,12
img_0955.jpg,2.734,4.701,0.027,7.461,12
img_0956.jpg,2.705,4.467,0.026,7.198,12
img_0957.jpg,2.792,4.706,0.027,7.525,12
img_0958.jpg,2.668,4.482,0.026,7.175,12
img_0959.jpg,2.691,4.790,0.025,7.507,12
img_0960.jpg,2.713,4.523,0.026,7.261,12
img_0961.jpg,2.738,4.782,0.026,7.546,12
img_0962.jpg,2.766,4.581,0.025,7.371,12
img_0963.jpg,2.766,4.817,0.026,7.609,12
img_0964.jpg,2.700,4.521,0.025,7.246,12
img_0965.jpg,2.694,4.735,0.029,7.458,12
img_0966.jpg,2.693,4.822,0.026,7.541,12
img_0967.jpg,2.732,5.082,0.029,7.843,12
img_0968.jpg,2.706,4.794,0.030,7.530,12
img_0969.jpg,2.769,5.349,0.041,8.159,12
img_0970.jpg,3.270,5.379,0.041,8.691,12
img_0971.jpg,2.847,5.668,0.044,8.559,12
img_0972.jpg,3.025,5.494,0.051,8.570,12
img_0973.jpg,2.848,5.579,0.045,8.471,12
img_0974.jpg,2.867,5.641,0.043,8.552,12
img_0975.jpg,3.063,5.631,0.042,8.735,12
img_0976.jpg,3.046,5.292,0.044,8.382,12
img_0977.jpg,3.498,5.525,0.049,9.071,12
img_0978.jpg,3.085,5.437,0.044,8.565,12
img_0979.jpg,3.041,5.480,0.041,8.563,12
img_0980.jpg,3.108,5.938,0.045,9.091,12
img_0981.jpg,2.902,5.835,0.052,8.789,12
img_0982.jpg,3.041,5.598,0.048,8.688,12
img_0983.jpg,2.987,6.040,0.063,9.089,12
img_0984.jpg,2.868,5.222,0.039,8.129,12
img_0985.jpg,2.881,5.186,0.037,8.104,12
img_0986.jpg,2.881,4.848,0.034,7.763,12
img_0987.jpg,2.794,5.672,0.036,8.502,12
img_0988.jpg,2.783,5.208,0.038,8.029,12
img_0989.jpg,2.935,5.219,0.052,8.206,12
img_0990.jpg,3.034,5.424,0.043,8.501,12
img_0991.jpg,3.096,5.380,0.043,8.519,12
img_0992.jpg,2.887,5.477,0.065,8.428,12
img_0993.jpg,3.086,5.507,0.049,8.642,12
img_0994.jpg,2.964,5.242,0.042,8.248,12
img_0995.jpg,2.934,5.429,0.042,8.406,12
img_0996.jpg,2.819,5.264,0.043,8.125,12
img_0997.jpg,2.852,5.551,0.043,8.445,12
img_0998.jpg,3.015,5.363,0.051,8.429,12
img_0999.jpg,2.869,5.711,0.045,8.625,12
img_1000.jpg,2.911,5.610,0.047,8.569,12

avg,2.848,5.693,0.039,8.581,
